F-1,F0,A0,C1,D1,G1,A1,A♯1,C2,C♯2,D2,E2,F2,F♯2,G2,G♯2,A2,A♯2,B2,C3,C♯3,D3,D♯3,E3,F3,F♯3,G3,G♯3,A3,A♯3,B3,C4,C♯4,D4,D♯4,E4,F4,F♯4,G4,G♯4,A4,A♯4,B4,C5,C♯5,D5,D♯5,E5,F5,F♯5,G5,G♯5,A5,A♯5,B5,C6,C♯6,D6,D♯6,E6,F6,F♯6,G6,G♯6,A6,A♯6,C7,D♯7
0,0,0,0,0,0,0,0,0,0,45.37,0,0,0,0,0,0,0,0,0,0,39.33,0,0,0,0,13.71,0,30.81,0,0,0,0,0,16.03,0,0,22.58,0,0,22.79,0,0,0,0,0,104.30,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,0,0,0,0,0,0,0,16.72,0,0,0,0,15.32,0,34.65,0,0,0,0,0,29.03,0,0,26.46,12.42,0,19.00,0,0,0,0,0,38.16,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,0,0,0,21.48,0,0,0,0,20.81,0,34.62,0,0,0,0,10.33,73.91,0,0,25.82,27.83,0,17.24,0,0,0,0,16.71,28.27,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,0,0,0,0,0,0,15.91,0,0,0,0,17.33,0,25.53,0,0,0,0,0,83.26,0,0,23.45,14.54,0,18.63,0,0,0,0,11.48,16.09,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.45,0,20.94,0,0,0,0,0,69.00,0,0,23.10,0,0,17.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.16,0,23.38,0,11.07,14.29,15.06,20.81,114.78,0,11.07,20.10,51.56,15.97,24.77,69.36,13.83,11.58,0,0,11.92,0,0,0,0,0,0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.14,0,11.63,0,0,10.53,0,10.98,137.16,0,0,20.94,137.81,10.38,12.60,95.79,10.44,0,0,0,20.37,0,0,0,0,0,0,38.86,0,0,0,0,0,0,15.53,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,13.58,0,0,0,0,0,139.66,0,0,18.53,113.49,0,0,63.71,0,0,0,0,13.97,0,0,0,0,0,0,14.72,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29,0,15.59,0,0,0,0,0,105.80,0,0,19.08,87.27,0,0,55.78,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,24.92,0,0,0,14.54,0,0,0,0,47.08,0,0,0,13.20,0,0,30.73,0,11.17,0,0,13.36,0,0,81.23,10.39,0,0,58.70,0,0,25.63,0,0,0,0,16.21,12.35,14.47,19.65,190.98,17.69,0,0,0,0,0,0,0,0,0,0,25.88,0,0,0,0,0
